district_id,district_name,latitude,longitude,date,tempmax,tempmin,temp,humidity,precip,windspeed,sealevelpressure,solarradiation,pm2p5,pm10,AOD
1,Bangalore,12.9716,77.5946,2023-04-23,33.8,22.0,27.6,56.6,0.0,14.8,1011.8,254.0,41.0,59.0,0.279583598
1,Bangalore,12.9716,77.5946,2023-04-24,33.0,21.5,27.3,63.0,5.0,20.5,1013.2,256.2,31.0,46.0,0.270936901
1,Bangalore,12.9716,77.5946,2023-04-25,31.9,22.5,27.0,64.4,1.5,18.4,1014.2,268.0,26.0,38.0,0.354147122
1,Bangalore,12.9716,77.5946,2023-04-26,32.3,23.0,27.5,60.6,0.1,13.9,1014.1,286.8,29.0,44.0,0.424961338
1,Bangalore,12.9716,77.5946,2023-04-27,32.9,23.0,27.5,60.8,0.1,20.4,1014.2,278.0,25.0,39.0,0.462446487
1,Bangalore,12.9716,77.5946,2023-04-28,33.1,22.0,27.3,60.4,0.0,16.5,1014.6,282.1,26.0,40.0,0.671990605
1,Bangalore,12.9716,77.5946,2023-04-29,31.0,21.2,25.7,72.6,20.119,42.574999999999996,1014.0,238.9,23.0,34.0,0.860195752
1,Bangalore,12.9716,77.5946,2023-04-30,31.0,23.0,26.3,67.8,2.984,18.3,1012.1,259.4,28.0,41.0,0.249957234
1,Bangalore,12.9716,77.5946,2023-05-01,29.6,21.0,24.6,76.6,47.113,27.7,1012.4,218.7,24.0,35.0,0.104572782
1,Bangalore,12.9716,77.5946,2023-05-02,30.0,21.0,24.5,77.8,0.016,20.3,1013.1,187.9,18.0,26.0,0.286195839
1,Bangalore,12.9716,77.5946,2023-05-03,29.0,21.0,24.4,78.2,8.789,14.8,1014.1,190.8,22.0,32.0,0.197816956
1,Bangalore,12.9716,77.5946,2023-05-04,30.0,21.4,24.4,74.5,43.0,14.8,1013.5,259.1,27.0,40.0,0.330991401
1,Bangalore,12.9716,77.5946,2023-05-05,28.0,21.5,24.3,75.9,0.6,17.5,1012.9,130.8,22.0,33.0,0.278175021
1,Bangalore,12.9716,77.5946,2023-05-06,28.0,22.0,23.7,85.0,1.016,20.4,1012.6,211.2,28.0,42.0,0.334794654
1,Bangalore,12.9716,77.5946,2023-05-07,28.0,21.4,24.1,79.5,1.005,18.4,1013.0,90.5,20.0,29.0,0.4692608
1,Bangalore,12.9716,77.5946,2023-05-08,29.0,20.5,24.3,81.5,10.0,16.5,1012.3,221.1,24.0,34.0,0.633639803
1,Bangalore,12.9716,77.5946,2023-05-09,31.3,21.0,25.8,74.7,0.662,16.5,1012.5,254.8,21.0,31.0,0.403487866
1,Bangalore,12.9716,77.5946,2023-05-10,32.9,22.0,27.4,66.7,0.1,14.8,1012.2,291.2,29.0,42.0,0.500769023
1,Bangalore,12.9716,77.5946,2023-05-11,32.3,23.0,27.7,64.0,1.7,20.3,1013.0,256.7,44.0,63.0,0.774412282
1,Bangalore,12.9716,77.5946,2023-05-12,32.9,21.0,25.7,75.5,13.022,18.4,1013.8,259.4,37.0,53.0,0.651603332
1,Bangalore,12.9716,77.5946,2023-05-13,31.0,22.8,26.4,75.3,0.6,22.5,1014.5,258.0,25.0,36.0,0.45401756
1,Bangalore,12.9716,77.5946,2023-05-14,32.9,22.0,26.8,71.7,0.0,23.9,1013.6,289.3,23.0,33.0,0.348182783
1,Bangalore,12.9716,77.5946,2023-05-15,33.9,22.9,27.5,67.2,0.0,20.5,1013.9,310.2,26.0,37.0,0.231873158
1,Bangalore,12.9716,77.5946,2023-05-16,34.9,22.9,28.0,63.3,0.016,18.4,1014.9,301.0,32.0,46.0,0.259962865
1,Bangalore,12.9716,77.5946,2023-05-17,34.9,23.0,29.1,53.5,0.0,14.8,1015.2,280.0,39.0,56.0,0.223282314
1,Bangalore,12.9716,77.5946,2023-05-18,35.9,23.5,29.0,59.4,0.0,11.4,1015.6,274.6,32.0,47.0,0.38097408
1,Bangalore,12.9716,77.5946,2023-05-19,35.9,23.0,29.3,55.5,0.0,17.9,1014.9,271.0,31.0,45.0,0.405023566
1,Bangalore,12.9716,77.5946,2023-05-20,34.9,21.4,26.9,69.5,29.84,17.5,1014.5,287.8,30.0,45.0,0.460687903
1,Bangalore,12.9716,77.5946,2023-05-21,32.9,21.7,24.9,76.0,30.832,33.5,1015.1,263.0,47.0,69.0,0.528188636
1,Bangalore,12.9716,77.5946,2023-05-22,32.9,21.0,25.7,74.5,16.032,12.0,1015.9,274.0,39.0,57.0,0.487000772
1,Bangalore,12.9716,77.5946,2023-05-23,33.0,21.1,26.7,69.5,24.865,20.1,1016.4,282.9,42.0,62.0,0.536462913
1,Bangalore,12.9716,77.5946,2023-05-24,32.9,21.2,26.0,72.0,1.027,20.4,1016.1,289.5,33.0,48.0,0.467118386
1,Bangalore,12.9716,77.5946,2023-05-25,38.5,22.0,26.0,73.8,0.06,18.4,1016.6,275.1,21.0,31.0,0.47965187
1,Bangalore,12.9716,77.5946,2023-05-26,31.9,22.0,26.5,69.3,0.0,22.1,1016.6,280.7,18.0,26.0,0.295502712
1,Bangalore,12.9716,77.5946,2023-05-27,32.9,22.0,26.8,71.2,0.2,16.6,1015.1,278.3,21.0,31.0,0.223947048
1,Bangalore,12.9716,77.5946,2023-05-28,33.9,23.0,27.4,67.1,0.1,18.0,1014.2,269.1,23.0,34.0,0.33908424
1,Bangalore,12.9716,77.5946,2023-05-29,33.9,23.0,27.0,67.0,0.0,18.6,1014.2,264.4,31.0,47.0,0.4393949
1,Bangalore,12.9716,77.5946,2023-05-30,32.8,20.0,24.8,81.4,64.648,20.5,1015.1,252.6,37.0,55.0,0.581206929
1,Bangalore,12.9716,77.5946,2023-05-31,31.9,20.0,25.7,75.8,0.173,14.6,1014.1,248.9,44.0,65.0,0.501170986
1,Bangalore,12.9716,77.5946,2023-06-01,30.9,21.0,26.3,75.3,0.065,18.5,1013.9,269.1,31.0,46.0,0.548103707
1,Bangalore,12.9716,77.5946,2023-06-02,32.9,22.0,26.5,73.8,1.3,22.2,1014.3,235.8,23.0,34.0,0.558384045
1,Bangalore,12.9716,77.5946,2023-06-03,33.9,22.5,27.8,69.3,0.4,18.4,1013.9,267.1,30.0,45.0,0.423333361
1,Bangalore,12.9716,77.5946,2023-06-04,30.9,23.0,26.2,71.4,0.6,25.6,1014.0,259.5,24.0,35.0,0.64570088
1,Bangalore,12.9716,77.5946,2023-06-05,31.9,22.0,27.1,67.7,0.7,20.7,1013.2,285.2,23.0,35.0,0.380561093
1,Bangalore,12.9716,77.5946,2023-06-06,32.9,22.0,26.3,72.7,4.005,24.1,1012.8,275.1,17.0,27.0,0.352007798
1,Bangalore,12.9716,77.5946,2023-06-07,32.9,22.8,26.5,71.9,0.199,22.3,1013.0,265.1,14.0,21.0,0.4535641
1,Bangalore,12.9716,77.5946,2023-06-08,31.9,22.0,26.6,71.6,0.022,24.7,1013.3,279.9,8.0,13.0,0.274930913
1,Bangalore,12.9716,77.5946,2023-06-09,32.0,22.0,26.1,73.8,1.076,24.2,1012.2,264.6,9.0,14.0,0.249513529
1,Bangalore,12.9716,77.5946,2023-06-10,30.1,21.0,25.0,73.8,1.6,29.2,1011.9,221.0,7.0,10.0,0.255636639
1,Bangalore,12.9716,77.5946,2023-06-11,30.0,21.0,25.4,75.1,0.099,26.0,1011.8,226.1,7.0,11.0,0.159260636
1,Bangalore,12.9716,77.5946,2023-06-12,32.0,21.1,25.6,74.9,21.341,24.0,1011.6,229.6,9.0,14.0,0.227480377
